posttau,postmean0,iteratenr
10.0,0.2146542936025731,1
10.0,0.32498644202056626,2
10.0,1.3802349637471982,3
10.0,1.3505449333144877,4
10.0,1.5997160132723165,5
10.0,1.0976214658624799,6
10.0,1.3896589184444639,7
10.0,1.5424018945567142,8
10.0,1.2911062300286487,9
10.0,1.23828290243666,10
10.0,1.7088137218227626,11
10.0,1.731218607327029,12
10.0,1.2205027073257595,13
10.0,1.6192593365212886,14
10.0,1.6010357708495802,15
10.0,1.4928792529120471,16
10.0,1.5209236244577369,17
10.0,1.5888380905974262,18
10.0,1.0450989541729714,19
10.0,1.713764172476326,20
10.0,1.248688159927939,21
10.0,1.3004187083782448,22
10.0,1.4723128203795113,23
10.0,1.3373685311425672,24
10.0,1.0964559437977186,25
10.0,1.4681982824950595,26
10.0,1.178574170075771,27
10.0,1.494755481951171,28
10.0,1.1282210877183045,29
10.0,1.0077127131797792,30
10.0,1.2486801660374167,31
10.0,1.3258319616395609,32
10.0,1.2011015904825482,33
10.0,1.7049834851250159,34
10.0,1.2575764308981445,35
10.0,1.336769946556744,36
10.0,1.4053198672541398,37
10.0,1.4258073986541637,38
10.0,1.5517667751278632,39
10.0,1.1005989582496531,40
10.0,1.073878213681035,41
10.0,1.4375550161850636,42
10.0,1.4700125191932087,43
10.0,1.2002184050107254,44
10.0,1.333951225274248,45
10.0,1.4019963088240242,46
10.0,1.8974230990080363,47
10.0,1.600853713928093,48
10.0,1.0520326585298694,49
10.0,1.0588287403543521,50
10.0,1.0962018950097876,51
10.0,0.9738529947479313,52
10.0,0.9955180852666219,53
10.0,1.2476678300997586,54
10.0,1.0365930945101025,55
10.0,1.27450100679906,56
10.0,1.0265527809046908,57
10.0,1.083795013825005,58
10.0,1.1941894451924329,59
10.0,0.9900927876042196,60
10.0,1.4853119814690832,61
10.0,1.6392100248556916,62
10.0,0.9783544582426574,63
10.0,1.606248751832441,64
10.0,1.1887790839202381,65
10.0,1.1206729619213769,66
10.0,1.1648340243989843,67
10.0,1.2570779101125453,68
10.0,1.4760802131529003,69
10.0,1.4120219871607171,70
10.0,1.3272329595775554,71
10.0,1.0306456701112408,72
10.0,1.3097654179836251,73
10.0,1.6039345157450324,74
10.0,1.2443018105332013,75
10.0,1.039653888891751,76
10.0,1.1618971118662904,77
10.0,1.0007047520438532,78
10.0,1.4687620137769986,79
10.0,1.3382957562046163,80
10.0,1.163726566615205,81
10.0,1.0999826334535434,82
10.0,1.3240584437942846,83
10.0,1.0710807912044864,84
