lower,upper,ave,x
0.6063185570846457,1.1275697454328517,0.8123803025652957,0.0
0.5969309906492835,1.0428453423302297,0.7530131908158358,0.050505050505050504
0.5241512876789863,0.919755352807514,0.6636647988125279,0.10101010101010101
0.5018934530331016,0.8621013968603042,0.6234818838404346,0.15151515151515152
0.49253759377610523,0.8573841938900071,0.6097523725093872,0.20202020202020202
0.4903542026869963,0.8552008028008982,0.6047411560203453,0.25252525252525254
0.4853051006551852,0.7461195197455881,0.5736055790164305,0.30303030303030304
0.48458995618155415,0.7454043752719571,0.571965590098251,0.35353535353535354
0.4492460869049263,0.6604862025320194,0.5461814768775582,0.40404040404040403
0.4482370806007301,0.619962567306156,0.5260589182157415,0.45454545454545453
0.44800945683835386,0.6197349435437796,0.525344587351246,0.5050505050505051
0.4478410409967697,0.6195665277021956,0.5251761715096617,0.5555555555555556
0.44771294693736374,0.6118848913153768,0.5222007334452757,0.6060606060606061
0.4476132596387522,0.6117852040167653,0.5221010461466642,0.6565656565656566
0.4475341608189559,0.6066322125907517,0.5213505770505786,0.7070707070707071
0.4057058201067736,0.5925468404020781,0.5037456198649753,0.7575757575757576
0.405653593931031,0.5924946142263355,0.5036933936892328,0.8080808080808081
0.4056103101543943,0.5924513304496988,0.5036501099125962,0.8585858585858586
0.4055740379285558,0.5924150582238603,0.5036138376867575,0.9090909090909091
0.40554334074526405,0.5923843610405686,0.5035831405034656,0.9595959595959596
0.4055171319879617,0.5923581522832662,0.5035569317461634,1.0101010101010102
0.40549457743148565,0.5923355977267901,0.5035343771896874,1.0606060606060606
0.4054750280275657,0.5923160483228701,0.5032207193581909,1.1111111111111112
0.39622858609969175,0.5922989929783943,0.4956966318218485,1.1616161616161615
0.38516520271781446,0.5740490113176088,0.4883114345178295,1.2121212121212122
0.38515199454949767,0.574035803149292,0.4882982263495128,1.2626262626262625
0.3851402808931616,0.5740240894929559,0.4882865126931767,1.3131313131313131
0.1295647888206388,0.5161989251176535,0.38978196332741766,1.3636363636363635
0.1295554505143592,0.516189586811374,0.38977262502113824,1.4141414141414141
0.12954706148310124,0.516181197780116,0.38976423598988025,1.4646464646464648
0.1295394972914859,0.5161736335885007,0.3897566717982648,1.5151515151515151
0.12953265324495847,0.5159172825729968,0.38959468130883657,1.5656565656565657
0.12952644074755024,0.5159110700755886,0.38958846881142833,1.6161616161616161
0.12952078442019876,0.5159054137482372,0.3895828124840771,1.6666666666666667
0.12951561980339107,0.5159002491314294,0.38957764786726923,1.7171717171717171
0.12951089151254067,0.515895520840579,0.3895729195764187,1.7676767676767677
0.032859185984618657,0.17185720760473608,0.07599906617880389,1.8181818181818181
0.032855193314533536,0.17185321493465097,0.0759950735087188,1.8686868686868687
0.03285151168879572,0.17184953330891314,0.07599139188298097,1.9191919191919191
0.03284810961810627,0.1718461312382237,0.07598798981229155,1.9696969696969697
0.032844959499470146,0.17184298111958757,0.07598483969365544,2.0202020202020203
0.03284203705452636,0.1718400586746438,0.07598191724871166,2.0707070707070705
0.03283932086035113,0.17183734248046856,0.07597920105453639,2.121212121212121
0.03283679195573497,0.1718348135758524,0.0759766721499202,2.1717171717171717
0.03283443350937113,0.17183245512948858,0.07597431370355641,2.2222222222222223
0.0328322305390741,0.17183025215919157,0.0759721107332594,2.272727272727273
0.03283016967325217,0.1718281912933696,0.07597004986743744,2.323232323232323
0.0328282389475202,0.17182626056763764,0.07596811914170545,2.3737373737373737
0.03282642763065826,0.1718244492507757,0.07596630782484352,2.4242424242424243
0.03282472607517499,0.1718227476952924,0.07596460626936026,2.474747474747475
0.032823125588579055,0.17182114720869648,0.07596300578276437,2.525252525252525
0.032821618322143066,0.17181963994226052,0.07596149851632837,2.5757575757575757
0.032820197174495046,0.17181821879461248,0.07592959456966658,2.6262626262626263
0.03281885570782095,0.17181687732793838,0.07592825310299252,2.676767676767677
0.032817588074827674,0.1718156096949451,0.07592698546999925,2.727272727272727
0.03281638895491568,0.17181441057503313,0.07592578635008729,2.7777777777777777
0.0030695281184150527,0.09355614314889439,0.04402432323063016,2.8282828282828283
0.003068451896841428,0.09355506692732077,0.04402324700905649,2.878787878787879
0.0030674308606005647,0.09355404589107989,0.044022225972815666,2.9292929292929295
0.003066461300206005,0.09355307633068535,0.0440212564124211,2.9797979797979797
0.003065539812696726,0.09355215484317607,0.0440203349249118,3.0303030303030303
0.0030646632717370665,0.0935512783022164,0.04401945838395213,3.080808080808081
0.0030638288010648653,0.0935504438315442,0.04401862391327994,3.1313131313131315
