"","V1"
"466",4.4
"467",42.4
"468",3.6
"469",45.4
"470",209.5
"471",31.3
"472",29.3
"473",6.3
"474",143.5
"475",0.6
"476",5.4
"477",5.6
"478",28.3
"479",27.8
"480",45.4
"481",183.5
"482",76.6
"483",23.3
"484",17.4
"485",0.1
"486",84.4
"487",80.5
"488",12.4
"489",12.5
"490",2.4
"491",4.5
"492",1.5
"493",18.6
"494",1.4
"495",41.4
"496",7.4
"497",2.4
"498",36.4
"499",3.4
"500",0.9
"501",13.2
"502",4
"503",89.5
"504",8.5
"505",11.6
"506",2.6
"507",0.0763158
"508",3.7
"509",7.5
"510",12.5
"511",111.6
"512",102.6
"513",36.5
"514",12.7
"515",3.6
"516",1.1
"517",2.4
"518",1.1
"519",79.6
"520",10.8
"521",2.5
"522",4.5
"523",15.7
"524",29.5
"525",16.5
"526",51.4
"527",7.5
"528",209.7
"529",0.1
"530",2.5
"531",15.5
"532",3.5
"533",246
"534",128.7
"535",52.6
"536",3.6
"537",0.5
"538",26.6
"539",1.5
"540",16.8
"541",1.1
"542",48.6
"543",90.6
"544",24.6
"545",20.7
"546",51.7
"547",54.6
"548",1.6
"549",29.6
"550",18.7
"551",4.8
"552",104.7
"553",48.7
"554",2.4
"555",2.7
"556",2.6
"557",96.8
"558",29.7
"559",22.7
"560",6.7
"561",2.6
"562",73.7
"563",2.6
"564",3.7
"565",16.7
"566",4.2
"567",90.8
"568",41.7
"569",3.8
"570",11.7
"571",0.9
"572",6.7
"573",4.2
"574",11.7
"575",2.7
"576",3
"577",123.1
"578",26.6
"579",2.7
"580",56.8
"581",15.7
"582",3.9
"583",50.6
"584",5.9
"585",41.8
"586",74
"587",3.8
"588",0.1
"589",15.8
"590",2.7
"591",38.8
"592",6.8
"593",2.7
"594",3.2
"595",2.4
"596",10
"597",24.8
"598",150
"599",5.8
"600",1
"601",12.8
"602",2.8
"603",2.8
"604",5.9
"605",0.2
"606",41.3
"607",6.7
"608",11.8
"609",0.8
"610",16
"611",5
"612",2.8
"613",30.9
"614",94
"615",12.7
"616",9.7
"617",35.9
"618",9.1
"619",3.1
"620",3
"621",66.2
"622",42.9
"623",2
"624",3.9
"625",6
"626",29.9
"627",9.8
"628",42
"629",0.5
"630",1.7
"631",1.3
"632",93
"633",86
"634",0.9
"635",22.9
"636",153.8
"637",6.2
"638",9.4
"639",2
"640",77
"641",2
"642",90
"643",54
"644",68.2
"645",114
"646",33.9
"647",10.9
"648",2.9
"649",14.2
"650",120
"651",0.2
"652",66
"653",9.9
"654",39
"655",26
"656",23
"657",90.1
"658",42
"659",18
"660",1.6
"661",130.1
"662",30
"663",198.2
"664",4
"665",14.1
"666",4.2
"667",9.4
"668",5
"669",5.6
"670",80.2
"671",23
"672",56.2
"673",1.1
"674",4
"675",23.7
"676",6.5
"677",78.1
"678",1.3
"679",2.2
"680",3.6
"681",37
"682",11.1
"683",38
"684",2
"685",6.1
"686",54.7
"687",10.2
"688",66.7
"689",54.1
"690",4.7
"691",1.1
"692",42.1
"693",125.4
"694",29.1
"695",42.1
"696",36.5
"697",22.8
"698",7.7
"699",34.4
"700",6.2
"701",50.2
"702",25.1
"703",18.1
"704",8.1
"705",9.1
"706",18.1
"707",13.8
"708",6.3
"709",70.4
"710",22
"711",6.2
"712",51.3
"713",16.2
"714",17.5
"715",3.8
"716",2.2
"717",4.1
"718",49.2
"719",17.2
"720",106.3
"721",2.2
"722",54.9
"723",7.2
"724",5.2
"725",2.2
"726",1.6
"727",15.9
"728",169.4
"729",1.2
"730",2
"731",5.2
"732",35.2
"733",6.1
"734",16.2
"735",0.5
"736",42.2
"737",8.4
"738",3.2
"739",0.8
"740",242.8
"741",1.7
"742",66.3
"743",2.5
"744",12.3
"745",99.5
"746",15
"747",61.4
"748",13.4
"749",107.9
"750",130.5
"751",6.3
"752",28.6
"753",0.2
"754",0.6
"755",6.4
"756",4
"757",12.4
"758",1.5
"759",3.4
"760",29.5
"761",3
"762",116.3
"763",42
"764",3.7
"765",2.7
"766",20.5
"767",24.8
"768",0.6
"769",175.8
"770",0.6
"771",23.6
"772",29.1
"773",4.6
"774",1.4
"775",28.4
"776",13.6
"777",4.6
"778",1.7
"779",120.8
"780",4.6
"781",5.7
"782",39.6
"783",7.7
"784",6.6
"785",0.6
"786",81.7
"787",66.7
"788",147.9
"789",7.3
"790",25.7
"791",4.8
"792",3.8
"793",2.7
"794",3.7
"795",8.7
"796",28.7
"797",1.1
"798",0.8
"799",3.4
"800",1.3
"801",6.2
"802",31.8
"803",5.8
"804",13.8
"805",0.4
"806",151
"807",1.4
"808",5.8
"809",11.8
"810",6.5
"811",5.8
"812",0.1
"813",11.8
"814",2.1
"815",39.8
"816",41.9
"817",25.8
"818",2.8
"819",55.3
"820",115
"821",30.9
"822",1.2
"823",0.0330578
"824",73.9
"825",8
"826",9.5
"827",22.5
"828",20.3
"829",2
"830",5
"831",24
"832",24
"833",79.2
"834",11
"835",14
"836",43
"837",7
"838",76.1
"839",151.2
"840",1
"841",3.1
"842",2
"843",139.3
"844",1.3
"845",5.3
"846",31.2
"847",17.3
"848",139.5
"849",7.7
"850",24.2
"851",21.2
"852",16.1
"853",0.7
"854",24.2
"855",9.3
"856",1.1
"857",4.8
"858",5.2
"859",37.1
"860",10.5
"861",31.5
"862",55.6
"863",67.6
"864",24
"865",114.7
"866",21.6
"867",8.7
