posttau,postmean0,iteratenr
10.0,1.23451409842205,1
10.0,1.23451409842205,2
10.0,1.23451409842205,3
10.0,1.4137608481130963,4
10.0,1.425260637089681,5
10.0,1.23451409842205,6
10.0,1.23451409842205,7
10.0,1.36126628055599,8
10.0,1.23451409842205,9
10.0,1.7791883324022506,10
10.0,1.7034458388648952,11
10.0,1.363563693075628,12
10.0,1.299038895748839,13
10.0,1.5377104142959888,14
10.0,1.5894004837193891,15
10.0,1.7184500783729673,16
10.0,1.6539252810461782,17
10.0,1.7790708559838582,18
10.0,1.6539252810461782,19
10.0,1.7507124770363618,20
10.0,1.7507124770363618,21
10.0,1.6539252810461782,22
10.0,1.6861876797095727,23
10.0,1.6474423599336938,24
10.0,1.8022714321381819,25
10.0,1.6216628823827837,26
10.0,1.5248756863926003,27
10.0,1.363563693075628,28
10.0,1.363563693075628,29
10.0,1.4926132877292058,30
10.0,1.3958260917390224,31
10.0,1.7507124770363618,32
10.0,1.6216628823827837,33
10.0,1.6216628823827837,34
10.0,1.7507124770363618,35
10.0,1.7184500783729673,36
10.0,1.6861876797095727,37
10.0,1.7184500783729673,38
10.0,1.7513408770617114,39
10.0,1.5742118844257165,40
10.0,1.6551820810968776,41
10.0,1.802562275170876,42
10.0,1.7715566765581807,43
10.0,1.6899580798616702,44
10.0,1.7551112772138089,45
10.0,1.6273184826109302,46
10.0,1.6779114806947453,47
10.0,1.6127582833426066,48
10.0,1.6620944813757228,49
10.0,1.6620944813757228,50
10.0,1.6456490820313507,51
10.0,1.5798674846538627,52
10.0,1.5469766859651188,53
10.0,1.9721060670818829,54
10.0,1.711430679408839,55
10.0,1.5469766859651188,56
10.0,1.711430679408839,57
10.0,1.6456490820313507,58
10.0,1.6620944813757228,59
10.0,1.5963128839982348,60
10.0,1.6456490820313507,61
10.0,1.678539880720095,62
10.0,1.6949852800644671,63
10.0,1.5469766859651188,64
10.0,1.6456490820313507,65
10.0,1.678539880720095,66
10.0,1.6949852800644671,67
10.0,1.8682075756598966,68
10.0,1.6620944813757228,69
10.0,1.6127582833426066,70
10.0,1.711430679408839,71
10.0,1.6949852800644671,72
10.0,1.6802122480411974,73
10.0,1.6473214493524533,74
10.0,1.711430679408839,75
10.0,1.5140858872763745,76
10.0,1.5963128839982348,77
10.0,1.5305312866207466,78
10.0,1.5469766859651188,79
10.0,1.6620944813757228,80
10.0,1.678539880720095,81
10.0,1.727876078753211,82
10.0,1.727876078753211,83
10.0,1.5798674846538627,84
10.0,1.8204017508969363,85
10.0,1.5963128839982348,86
10.0,1.744321478097583,87
10.0,1.5963128839982348,88
10.0,1.6456490820313507,89
10.0,1.6620944813757228,90
10.0,1.6620944813757228,91
10.0,1.678539880720095,92
10.0,1.6949852800644671,93
10.0,1.6127582833426066,94
10.0,1.6781586295063444,95
10.0,1.645076332604594,96
10.0,1.7766395273595703,97
10.0,1.6127582833426066,98
10.0,1.678539880720095,99
10.0,1.6620944813757228,100
10.0,1.6127582833426066,101
10.0,1.744321478097583,102
10.0,1.760766877441955,103
10.0,1.727876078753211,104
10.0,1.6292036826869787,105
10.0,1.711430679408839,106
10.0,1.711430679408839,107
10.0,1.7063775204143201,108
10.0,1.744321478097583,109
10.0,1.727876078753211,110
10.0,1.711430679408839,111
10.0,1.6127582833426066,112
10.0,1.8044811048043794,113
10.0,1.8971869102822079,114
10.0,1.6625694430191778,115
10.0,1.7323436498218951,116
10.0,1.6292036826869787,117
10.0,1.6620944813757228,118
10.0,1.678539880720095,119
10.0,1.727876078753211,120
10.0,1.678539880720095,121
10.0,1.5963128839982348,122
10.0,1.5963128839982348,123
10.0,1.6292036826869787,124
10.0,1.6620944813757228,125
10.0,1.5963128839982348,126
10.0,1.6620944813757228,127
10.0,1.678539880720095,128
10.0,1.6292036826869787,129
10.0,1.678539880720095,130
10.0,1.6620944813757228,131
10.0,1.6949852800644671,132
10.0,1.6456490820313507,133
10.0,1.7305697402268931,134
10.0,1.727876078753211,135
10.0,1.6620944813757228,136
10.0,1.6949852800644671,137
10.0,1.6620944813757228,138
10.0,1.6456490820313507,139
10.0,1.6292036826869787,140
10.0,1.678539880720095,141
10.0,1.6620944813757228,142
10.0,1.5798674846538627,143
10.0,1.777212276786327,144
10.0,1.678539880720095,145
10.0,1.6292036826869787,146
10.0,1.6456490820313507,147
10.0,1.6127582833426066,148
10.0,1.6620944813757228,149
10.0,1.6620944813757228,150
10.0,1.727876078753211,151
10.0,1.711430679408839,152
10.0,1.6620944813757228,153
10.0,1.711430679408839,154
10.0,1.6949852800644671,155
10.0,1.6949852800644671,156
10.0,1.678539880720095,157
10.0,1.727876078753211,158
10.0,1.727876078753211,159
10.0,1.6292036826869787,160
10.0,1.678539880720095,161
10.0,1.6292036826869787,162
10.0,1.6896118163961298,163
10.0,1.7802240169598558,164
10.0,1.6540342858732169,165
10.0,1.6456490820313507,166
10.0,1.563422085309491,167
10.0,1.678539880720095,168
10.0,1.6292036826869787,169
10.0,1.6292036826869787,170
10.0,1.6292036826869787,171
10.0,1.6127582833426066,172
10.0,1.6292036826869787,173
10.0,1.711430679408839,174
10.0,1.744321478097583,175
10.0,1.711430679408839,176
10.0,1.5462382270629351,177
10.0,1.6109121360871475,178
10.0,1.6617252519246313,179
10.0,1.6123890538915149,180
10.0,1.678539880720095,181
10.0,1.727876078753211,182
10.0,1.777212276786327,183
10.0,1.777212276786327,184
10.0,1.744321478097583,185
10.0,1.6609553595387359,186
10.0,1.6609553595387359,187
10.0,1.643370838357376,188
10.0,1.6127582833426066,189
