posttau,postmean0,iteratenr
10.0,0.17271962252863535,1
10.0,0.30693376811579776,2
10.0,0.5886506654456571,3
10.0,0.7035489571955279,4
10.0,0.7288025425322033,5
10.0,0.651603569576843,6
10.0,0.6462803220856277,7
10.0,0.728231085984995,8
10.0,0.6599707230825226,9
10.0,0.6878163810656988,10
10.0,0.6234867946874347,11
10.0,0.5853310654430437,12
10.0,0.5890956968956179,13
10.0,0.611750585267622,14
10.0,0.5866775532003423,15
10.0,0.5932247722921706,16
10.0,0.5847528476781483,17
10.0,0.5258597942330602,18
10.0,0.5552091694395566,19
10.0,0.6089884711029836,20
10.0,0.6143395718904121,21
10.0,0.5911182303283732,22
10.0,0.5834560139554756,23
10.0,0.5671643574829124,24
10.0,0.5656540802604233,25
10.0,0.5236182921749944,26
10.0,0.5545711455281138,27
10.0,0.5619965827748807,28
10.0,0.6047681822889754,29
10.0,0.6227063809955681,30
10.0,0.5997332115053199,31
10.0,0.6736174498478419,32
10.0,0.5908172528131531,33
10.0,0.5178426468262628,34
10.0,0.5249837156850673,35
10.0,0.49256913989414486,36
10.0,0.5116287391068672,37
10.0,0.4901440843774694,38
10.0,0.4594213056503026,39
10.0,0.5361558480475646,40
10.0,0.6283322207708344,41
10.0,0.7279571219344206,42
10.0,0.7194459410904989,43
10.0,0.8026726207516017,44
10.0,0.7029255890903447,45
10.0,0.6963538970020371,46
10.0,0.6253215091808382,47
10.0,0.6193723648106659,48
10.0,0.6434744855268019,49
10.0,0.7417769820515332,50
10.0,0.7271179127507783,51
10.0,0.6971433201788944,52
10.0,0.7854319003909372,53
10.0,0.763965070319478,54
10.0,0.7296071270476028,55
10.0,0.7479525023568117,56
10.0,0.6443669426707976,57
10.0,0.7271748237857916,58
10.0,0.683501704659396,59
10.0,0.8402671840205617,60
10.0,0.7539522706222763,61
10.0,0.7329120188880958,62
10.0,0.6981476316569423,63
10.0,0.7085403438163247,64
10.0,0.7020216384786552,65
10.0,0.7547167256972446,66
10.0,0.7720607762942513,67
10.0,0.7396427417140377,68
10.0,0.6283896092309784,69
10.0,0.723647885520991,70
10.0,0.7113809661553467,71
10.0,0.689145108529226,72
10.0,0.7564386556438799,73
10.0,0.6540610816518365,74
10.0,0.779712461414779,75
10.0,0.7499228619655668,76
10.0,0.7122303602520402,77
10.0,0.7737750175819027,78
10.0,0.8253081166174181,79
10.0,0.6775459462292389,80
10.0,0.6394483236630787,81
10.0,0.7927058657487062,82
10.0,0.7350811160123831,83
10.0,0.7153952276005363,84
10.0,0.7130494749271493,85
10.0,0.7899824362261315,86
10.0,0.7140689677886336,87
10.0,0.6573391002141408,88
10.0,0.6824310258211801,89
10.0,0.5953909304201028,90
10.0,0.6442292147819543,91
10.0,0.5376025572463713,92
10.0,0.6326611176814301,93
10.0,0.7716166918135444,94
10.0,0.7511124202955337,95
10.0,0.8399779317168301,96
10.0,0.723791206324514,97
10.0,0.7104618500649273,98
10.0,0.7631845468172186,99
10.0,0.7954397066864122,100
10.0,0.6611801896373296,101
10.0,0.7112538595312528,102
10.0,0.6215502094088707,103
10.0,0.6464116511511716,104
10.0,0.7246595572802739,105
10.0,0.7392312278536384,106
10.0,0.7007812386813526,107
10.0,0.7410070991879989,108
10.0,0.7822421611378131,109
10.0,0.7453174188789693,110
10.0,0.7728586812594217,111
10.0,0.8216321915204796,112
10.0,0.8098672865474735,113
10.0,0.7507509228991189,114
10.0,0.7497089823435115,115
10.0,0.758985740201823,116
10.0,0.6145061040837294,117
10.0,0.6039972736472748,118
10.0,0.593237081829079,119
10.0,0.7631404990496234,120
10.0,0.8836341697196932,121
10.0,0.7736419120367355,122
10.0,0.737935783917972,123
10.0,0.7672031139032351,124
10.0,0.7315786675501134,125
10.0,0.792075710407195,126
10.0,0.7292314318453296,127
10.0,0.688461042776386,128
10.0,0.6255222302167407,129
10.0,0.7071127278951446,130
10.0,0.6461528262916915,131
10.0,0.6443087599321059,132
10.0,0.6218092879412258,133
10.0,0.6832015160931384,134
10.0,0.6839385224066743,135
10.0,0.7390245480728193,136
10.0,0.6808243415170417,137
10.0,0.6310689493448846,138
10.0,0.7161377136144373,139
10.0,0.8160964862817136,140
10.0,0.7485519658712078,141
10.0,0.753756151765494,142
10.0,0.78472052410618,143
10.0,0.7497855929370865,144
10.0,0.7532795410515146,145
10.0,0.6434033494161531,146
10.0,0.686519253793837,147
10.0,0.6583829131196124,148
10.0,0.6567627172747722,149
10.0,0.7837651165654669,150
10.0,0.6500660732358766,151
10.0,0.6752086828598927,152
10.0,0.6236752718958242,153
10.0,0.6569201435617154,154
10.0,0.6541237700547456,155
10.0,0.6286361929171924,156
10.0,0.6015493724280515,157
10.0,0.602008389753226,158
10.0,0.6134953077143404,159
10.0,0.6598810970755652,160
10.0,0.6061750182465685,161
10.0,0.6623125757614085,162
10.0,0.6298963582197797,163
10.0,0.6528970465970064,164
10.0,0.6733768571453833,165
10.0,0.6473514426872992,166
10.0,0.7250704153113754,167
10.0,0.6677210839339445,168
10.0,0.6382483391784566,169
10.0,0.6457613949813524,170
10.0,0.6094544861523112,171
10.0,0.6414752463311965,172
10.0,0.6174700116541078,173
10.0,0.6908166059473126,174
10.0,0.6469529713131532,175
10.0,0.6603114556755711,176
10.0,0.6644370125814463,177
10.0,0.6116798905332819,178
10.0,0.5808644481137976,179
10.0,0.6612105394944595,180
10.0,0.7367122314926773,181
10.0,0.7921359747954707,182
10.0,0.7380340430514833,183
10.0,0.7059079683727081,184
10.0,0.7314237542616262,185
10.0,0.7407317636402552,186
10.0,0.696967332940151,187
10.0,0.7712947586572969,188
10.0,0.7557834712969618,189
10.0,0.8432898595745332,190
10.0,0.7556563827227603,191
10.0,0.7803255448826552,192
10.0,0.6958156202440495,193
10.0,0.7285800036734148,194
10.0,0.7905347684540579,195
10.0,0.7266723385886313,196
10.0,0.7256161871956857,197
10.0,0.7857709894499004,198
10.0,0.8195082798674234,199
10.0,0.8084668279468573,200
10.0,0.7482538559365327,201
10.0,0.719141509469152,202
10.0,0.6655973134462947,203
10.0,0.6122512544493222,204
10.0,0.6044929822628973,205
10.0,0.6377557389519861,206
10.0,0.6563376613971018,207
10.0,0.661385063199424,208
10.0,0.6604789640960795,209
10.0,0.6679445229440584,210
10.0,0.6090125313242183,211
10.0,0.6437513632584692,212
10.0,0.6044236861907623,213
10.0,0.6794359925589958,214
10.0,0.717932930159874,215
10.0,0.6916095634736295,216
10.0,0.7039778877990377,217
10.0,0.6620934764638963,218
10.0,0.6303207960780709,219
10.0,0.7277967987476229,220
10.0,0.8376319607290045,221
10.0,0.8546213581716037,222
10.0,0.6909783950537361,223
10.0,0.7074713497478462,224
10.0,0.7119095918279723,225
10.0,0.6511983903677396,226
10.0,0.62763737679913,227
10.0,0.6409250268888709,228
10.0,0.6426467860803254,229
10.0,0.5685606463665387,230
10.0,0.5872146799699905,231
10.0,0.5281200888462801,232
10.0,0.6274654762825636,233
10.0,0.7320698010003386,234
10.0,0.6707450642812599,235
10.0,0.7123129155673557,236
10.0,0.6747892794044258,237
10.0,0.6708299391774017,238
10.0,0.6515225349279532,239
10.0,0.6120824629215955,240
10.0,0.6014439582543771,241
10.0,0.6625433851124684,242
10.0,0.6534083494531453,243
10.0,0.6566282793994911,244
10.0,0.6468205166600092,245
10.0,0.6597242720133778,246
10.0,0.6666220901414409,247
10.0,0.6726621441194376,248
10.0,0.6887501521962648,249
10.0,0.6958167110369061,250
10.0,0.6493737686225703,251
10.0,0.6338669670540622,252
10.0,0.639442096656305,253
10.0,0.6760776970150024,254
10.0,0.6475565832934077,255
10.0,0.7398938167078919,256
10.0,0.6658031260122813,257
10.0,0.5928367024728755,258
10.0,0.7023794485621042,259
10.0,0.702864548502786,260
10.0,0.7652280028561166,261
10.0,0.8282505315391182,262
10.0,0.7428131803101693,263
10.0,0.6403567478140274,264
10.0,0.7429553664041427,265
10.0,0.707704681536257,266
10.0,0.7676805009401142,267
10.0,0.7021247476431972,268
10.0,0.7534694250490308,269
10.0,0.8375224007596802,270
10.0,0.8281022397796008,271
10.0,0.729320960380202,272
10.0,0.7252372056657287,273
10.0,0.8630004277833104,274
10.0,0.8296562620148237,275
10.0,0.9038410084432311,276
10.0,0.8534268811494535,277
10.0,0.7993649588904967,278
10.0,0.7203456347796848,279
10.0,0.743955955654058,280
10.0,0.7425755971466337,281
10.0,0.658404763135111,282
10.0,0.7310756472340604,283
