posttau,postmean0,iteratenr
10.0,0.2543160821065464,1
10.0,0.33839578610868576,2
10.0,0.44452084784145623,3
10.0,0.7177981765743403,4
10.0,0.8181446378747685,5
10.0,0.839849121919237,6
10.0,0.7378395008264893,7
10.0,0.6874001076604032,8
10.0,0.7437682883206057,9
10.0,0.6093334726722002,10
10.0,0.6103352980498132,11
10.0,0.6577237932368989,12
10.0,0.6681869447515938,13
10.0,0.638753132927849,14
10.0,0.6494306535340221,15
10.0,0.6618154098463961,16
10.0,0.6755980551670315,17
10.0,0.61892787921864,18
10.0,0.6374507258911981,19
10.0,0.6983896147799633,20
10.0,0.6759466828950398,21
10.0,0.7032716005388746,22
10.0,0.6867833762098099,23
10.0,0.6620128976408959,24
10.0,0.624719426002037,25
10.0,0.6293081262239343,26
10.0,0.6345679970676885,27
10.0,0.587124187119236,28
10.0,0.6333608536827585,29
10.0,0.6164561563864852,30
10.0,0.5879540593995799,31
10.0,0.5864050375605454,32
10.0,0.6466799595691127,33
10.0,0.6546922839937105,34
10.0,0.6791551631118287,35
10.0,0.6044875797176357,36
10.0,0.6223698009298145,37
10.0,0.6197471716002679,38
10.0,0.6190794242516726,39
10.0,0.6354474108607697,40
10.0,0.6699631054153915,41
10.0,0.70759107228507,42
10.0,0.6837880483300163,43
10.0,0.6676599134186139,44
10.0,0.6256974469602643,45
10.0,0.5733152793360649,46
10.0,0.5745531350930778,47
10.0,0.6487210196582096,48
10.0,0.6800295343866979,49
10.0,0.7001330250126845,50
10.0,0.65166874863892,51
10.0,0.6144818309013178,52
10.0,0.6213797717274788,53
10.0,0.54142318726437,54
10.0,0.5903779149513264,55
10.0,0.530696278751721,56
10.0,0.5200805362724814,57
10.0,0.5057880962666815,58
10.0,0.566462129212854,59
10.0,0.6118016969300922,60
10.0,0.6786262390910279,61
10.0,0.7506656951388067,62
10.0,0.7784072287046486,63
10.0,0.719600929220576,64
10.0,0.7059206810667679,65
10.0,0.6156051098456864,66
10.0,0.6230663982030371,67
10.0,0.6797053212774586,68
10.0,0.7018784720944485,69
10.0,0.6477692523249505,70
10.0,0.6638906956288128,71
10.0,0.636411979708478,72
10.0,0.7050788008623012,73
10.0,0.7188508266184477,74
10.0,0.6547032498595333,75
10.0,0.6832687180690391,76
10.0,0.6824096402470118,77
10.0,0.7001107724464011,78
10.0,0.6952697488073646,79
10.0,0.6624273564322604,80
