lower,upper,ave,x
0.7375974579416562,1.3923760678279913,1.0594632826143981,0.0
0.7375974579416562,1.3923760678279913,1.0594632826143981,0.050505050505050504
0.733987794134269,1.3884265727452774,1.0550156983655945,0.10101010101010101
0.5513674362397085,1.2018761713962998,0.8833325279444112,0.15151515151515152
0.4760540886986,1.1148389143511188,0.7967828364216933,0.20202020202020202
0.4452086324513129,1.0890079453584214,0.7555741004679238,0.25252525252525254
0.3585057392447868,0.9768959760260985,0.6243827083144665,0.30303030303030304
0.33469482783075377,0.8522975983538836,0.5437408723280618,0.35353535353535354
0.3274806924851552,0.8006964797066803,0.5083825068008234,0.40404040404040403
0.31838869574780454,0.7196229647246855,0.46936533536532943,0.45454545454545453
0.31247122362522795,0.6597474408313652,0.44992958945763706,0.5050505050505051
0.3085744851692072,0.6286886539068397,0.43798900820713854,0.5555555555555556
0.30349658019088577,0.6103131197359621,0.42901648859362956,0.6060606060606061
0.29962437559660826,0.5979928323399957,0.42038643675467136,0.6565656565656566
0.29769544173936346,0.5924691008555335,0.4169789255487322,0.7070707070707071
0.29489999841914066,0.5899724185019966,0.41403306602050377,0.7575757575757576
0.2930215499432083,0.5835352797063142,0.4109218770016827,0.8080808080808081
0.2919862454673293,0.5821955506537425,0.40922817825837404,0.8585858585858586
0.2911605491672482,0.5819792442859462,0.4087050287994358,0.9090909090909091
0.28812139199866843,0.5810304388578005,0.4067329712626876,0.9595959595959596
0.23511715573560216,0.55842829192318,0.3839517974159434,1.0101010101010102
0.2158652722942362,0.5286180153851048,0.3601094842636394,1.0606060606060606
0.20464663459627153,0.4940933469604018,0.3374112648460648,1.1111111111111112
0.2027145367755324,0.4866842336328754,0.3319197074015418,1.1616161616161615
0.20071118257984444,0.481070403527153,0.32751514979033136,1.2121212121212122
0.19495944317291014,0.4683575395280878,0.31843199380544485,1.2626262626262625
0.19157266072750545,0.4582172842004931,0.3111321231868393,1.3131313131313131
0.18181827978628118,0.43401834734037587,0.297321706821853,1.3636363636363635
0.17764485780748895,0.4236878708323083,0.29252868396074216,1.4141414141414141
0.17353327989362444,0.40631147629863695,0.2877450855576065,1.4646464646464648
0.17270054357864545,0.4047466785013281,0.2864263269259576,1.5151515151515151
0.17053322643223673,0.39689384356100316,0.28385354098707744,1.5656565656565657
0.16990797389753687,0.3949465082603144,0.2831597275209637,1.6161616161616161
0.1668970524983216,0.3907434695337342,0.28018086957142124,1.6666666666666667
0.16684459106792887,0.39040955764624385,0.2799150259748476,1.7171717171717171
0.16683513448622805,0.39040010106454304,0.27984224422253545,1.7676767676767677
0.07750947023108432,0.3701874149493244,0.26191364643643666,1.8181818181818181
0.07583374026692069,0.37009955676127293,0.2615261290492265,1.8686868686868687
0.07582637701544506,0.3700921935097973,0.2613031512950769,1.9191919191919191
0.07581957287406615,0.37006804152372597,0.261069060460792,1.9696969696969697
0.05549291202979677,0.36715145695156487,0.25101739116845423,2.0202020202020203
0.0554870671399092,0.36713633902750864,0.2508737054251135,2.0707070707070705
0.021569383925607144,0.3553623530770734,0.19433953700978943,2.121212121212121
0.01735402073246258,0.32229770274620984,0.09712093352978618,2.1717171717171717
0.017349303839734907,0.32192801388711123,0.09697095189450547,2.2222222222222223
0.014663142608761748,0.0778313102864514,0.031202004532321987,2.272727272727273
0.014444973268912165,0.07616298974215752,0.03096388103962057,2.323232323232323
0.014441111817448221,0.07583002968266117,0.030929824572494692,2.3737373737373737
0.014437489183724346,0.07582640704893731,0.03089373166413485,2.4242424242424243
0.014434086072757793,0.07549534159103305,0.03080438530615806,2.474747474747475
0.014430885099565933,0.07500906227473939,0.03065243763357714,2.525252525252525
0.01442787056669396,0.07488854843110965,0.030578458325829165,2.5757575757575757
0.014425028271397907,0.07483478093141926,0.030565882068300056,2.6262626262626263
0.01434511888247552,0.07428583158870658,0.030418351253994728,2.676767676767677
0.013865801707651514,0.07327674050589145,0.03008581690503481,2.727272727272727
0.013615349576247843,0.07299090217493757,0.029963168461709704,2.7777777777777777
0.013443885999180526,0.07212297673044518,0.029704282884069795,2.8282828282828283
0.012806123455906432,0.06897106266773449,0.029107952318263745,2.878787878787879
0.012804081383424704,0.06860248188566512,0.028966459128424216,2.9292929292929295
0.012802142262635586,0.06720999088556288,0.02865444985414712,2.9797979797979797
0.012800299287617025,0.06720814791054433,0.02863807271416392,3.0303030303030303
0.012570118800191687,0.06668228119136971,0.028441271506872878,3.080808080808081
0.012542012458545864,0.06602120093478367,0.028289498375985,3.1313131313131315
0.012525728171022567,0.0658221305336254,0.028234700476432555,3.1818181818181817
0.012339752687734941,0.06582061438531893,0.028212809843978923,3.2323232323232323
0.011210417917328195,0.06501009126121984,0.027855843795410687,3.282828282828283
0.010393988244435005,0.06128822115894507,0.02716604818783432,3.3333333333333335
0.007877916574227558,0.05642391801483913,0.02617202579864137,3.3838383838383836
0.0076481485998353225,0.05594172314385193,0.02597651410247904,3.4343434343434343
0.007559227194882531,0.05594051537570559,0.025946559171800405,3.484848484848485
0.007510379310753146,0.055939358998426725,0.02593014057050457,3.5353535353535355
0.007509271449569269,0.05593825113724285,0.025919921228191974,3.585858585858586
0.007415189563491523,0.055585553665305584,0.025851828546129062,3.6363636363636362
0.0071852906959534195,0.054639989795953414,0.025656236845655628,3.686868686868687
0.007184313037440736,0.054595668118536334,0.025628067388992058,3.7373737373737375
0.004803844405501783,0.05112863311397595,0.024673128829882655,3.787878787878788
0.0036090989258928245,0.047633316228631095,0.023984322371432183,3.8383838383838382
0.003463773747400992,0.04701392738532005,0.02371897518459961,3.888888888888889
